"","Epsilon","Theta0","Theta1","Classification_Error"
"1",0.25,-5.21532487964276,0.487368006451984,0.456283339536038
"2",0.25,NA,NA,NA
"3",0.25,-0.52557489200255,-0.590173773208506,0.547239796551296
"4",0.5,-8.96275816507924,0.844160209851801,0.456283339536038
"5",0.5,3.09271098098119,-0.390659711453843,0.559719637762064
"6",0.5,9.76499268187287,-0.820526098779643,0.547649175040318
"7",0.75,-2.62861586922025,0.215635988703662,0.469048505148245
"8",0.75,0.899722455525062,0.00455687297058054,0.452760203448704
"9",0.75,11.3575137385582,-0.920298048329132,0.530951494851755
"10",1,-5.25588751276836,0.62020090121022,0.439176280858454
"11",1,-6.21075387721001,0.595542501484427,0.456283339536038
"12",1,0.33451632377039,0.0253478173903251,0.452760203448704
"13",2,-1.75878315310222,0.174508696068241,0.456283339536038
"14",2,1.30365347767425,-0.11583377510755,0.547649175040318
"15",2,-2.45566730710835,0.222504851493739,0.452350824959682
"16",5,0.639169816482668,-0.0269115914178737,0.452760203448704
"17",5,-0.0356069071073084,0.0363346830346913,0.452760203448704
"18",5,0.173996131035725,-0.0058892517744479,0.452760203448704
"19",10,0.0539104636438056,0.00840166709342507,0.452760203448704
"20",10,-0.6207847141146,0.0818624660544542,0.440280362237936
"21",10,0.036358251382934,0.0319984527399134,0.452760203448704
