"","num_attr","tpr","crit_val"
"1",1,0.52,0.0061348617729936
"2",5,0.28,1.38844947183589
"3",50,0,5.356951193803
"4",100,0.05,6.43473810808036
"5",150,0.05,7.01752865088817
"6",200,0.11,8.36541566171535
"7",250,0.13,7.73799803675327
"8",300,0.19,8.67034403022479
"9",350,0.14,9.54992342837413
"10",400,0.14,10.6677227786793
"11",450,0.19,9.90534964480685
"12",500,0.22,10.240981704584
"13",550,0.22,10.2490629305934
"14",600,0.19,12.2282212750233
"15",650,0.24,12.2412503357118
"16",700,0.33,11.7511690153435
"17",750,0.21,14.052612868966
"18",800,0.21,15.6829730183812
"19",850,0.26,14.101373970986
"20",900,0.33,13.7776726948499
"21",950,0.41,11.7929710278658
"22",1000,0.35,14.5053559188602
"23",1050,0.26,17.0435100038511
"24",1100,0.34,14.5097736850016
"25",1150,0.31,16.3294038916029
"26",1200,0.4,14.6019927749053
"27",1250,0.34,16.2228852859924
"28",1300,0.32,18.0855764594071
"29",1350,0.33,19.0686487359366
"30",1400,0.45,15.1380634199621
"31",1450,0.49,14.1796295478109
"32",1500,0.4,16.2021761179624
"33",1550,0.39,17.6348339070264
"34",1600,0.35,19.2981356265386
"35",1650,0.45,16.4240547145799
"36",1700,0.41,18.1270091302126
"37",1750,0.43,18.1918825076304
"38",1800,0.59,15.8293005827879
"39",1850,0.44,19.4354844708595
"40",1900,0.42,21.6535134417294
"41",1950,0.46,20.1970550440553
"42",2000,0.53,18.3323155158175
"43",2050,0.41,23.1610015185798
"44",2100,0.5,20.5731181471798
"45",2150,0.47,22.7022183561396
"46",2200,0.49,21.8456456553184
"47",2250,0.51,21.690922869976
"48",2300,0.44,24.6233884244288
"49",2350,0.55,21.7029897364646
"50",2400,0.5,22.8855337284769
"51",2450,0.76,18.1463526870572
"52",2500,0.4,27.6045927357659
"53",2550,0.66,21.3932008989253
"54",2600,0.7,20.5788478262936
"55",2650,0.68,21.6643642847046
"56",2700,0.63,23.1225429423993
"57",2750,0.53,25.9450086217149
"58",2800,0.67,23.247793796278
"59",2850,0.76,20.1218322871911
"60",2900,0.46,29.6683131883954
"61",2950,0.52,28.0211724388354
"62",3000,0.77,22.4627576123744
"63",3050,0.52,28.493374944267
"64",3100,0.67,26.2904748203349
"65",3150,0.54,28.2434624588383
"66",3200,0.61,28.0060230547406
"67",3250,0.67,26.6669162841967
"68",3300,0.74,25.2472057535812
"69",3350,0.75,24.4374631981281
"70",3400,0.68,27.1692595823856
"71",3450,0.67,28.5389097819559
"72",3500,0.78,25.5101427540041
"73",3550,0.85,22.5363342964731
"74",3600,0.83,23.6743184497567
"75",3650,0.84,23.1453906713847
"76",3700,0.76,27.1061415320723
"77",3750,0.76,27.685963598164
"78",3800,0.86,23.5312657252019
"79",3850,0.8,27.3391525344973
"80",3900,0.87,24.9629121332425
"81",3950,0.78,28.5790816442618
"82",4000,0.77,30.1235133782741
"83",4050,0.89,25.3577737984269
"84",4100,0.85,27.4442441343977
"85",4150,0.79,30.3581043159164
"86",4200,0.86,28.4167111146967
"87",4250,0.83,29.6031779527901
"88",4300,0.77,32.7302275075126
"89",4350,0.78,31.5926037817565
"90",4400,0.84,31.679290930232
