"","num_attr","tpr","crit_val"
"1",1,0.52,0.042188931149577
"2",5,0.28,1.43456337809516
"3",50,0,4.90514165955135
"4",100,0.09,6.35569199720562
"5",150,0.12,7.38326321508965
"6",200,0.14,7.43000232865016
"7",250,0.12,8.9445098191415
"8",300,0.21,8.16788170457191
"9",350,0.29,7.99785453698673
"10",400,0.27,9.99565784366995
"11",450,0.27,10.4607544826516
"12",500,0.31,10.163829853295
"13",550,0.25,12.2886610261585
"14",600,0.33,10.3258573313669
"15",650,0.29,12.9391244275402
"16",700,0.31,11.8996025770395
"17",750,0.32,12.1361297834355
"18",800,0.32,12.6406706512458
"19",850,0.33,12.525380734301
"20",900,0.36,12.6179414732593
"21",950,0.39,13.1153597764496
"22",1000,0.35,14.1262330202593
"23",1050,0.48,12.0880043468136
"24",1100,0.45,13.8708918730109
"25",1150,0.47,13.7803974229605
"26",1200,0.43,15.2301404952263
"27",1250,0.42,15.7592781184507
"28",1300,0.46,14.246380501436
"29",1350,0.49,14.9348272917799
"30",1400,0.35,17.5661771326554
"31",1450,0.49,15.1774959248622
"32",1500,0.44,16.5577474190794
"33",1550,0.32,21.4256555150198
"34",1600,0.57,15.3419483039665
"35",1650,0.52,16.6341938989366
"36",1700,0.51,17.3688162695024
"37",1750,0.56,16.6490041139486
"38",1800,0.54,17.2147838236436
"39",1850,0.67,15.1946146083987
"40",1900,0.54,18.7734673600869
"41",1950,0.64,17.1926989055344
"42",2000,0.5,19.5825227043391
"43",2050,0.44,21.8843638903982
"44",2100,0.62,17.9439866490724
"45",2150,0.56,20.0813133586898
"46",2200,0.63,19.0340324458589
"47",2250,0.62,19.1378638515874
"48",2300,0.69,17.3036063028798
"49",2350,0.59,20.4542233951719
"50",2400,0.72,18.6761499650702
"51",2450,0.49,24.2955507257626
"52",2500,0.53,23.4132670961733
"53",2550,0.63,20.8090320577505
"54",2600,0.61,22.3304447721804
"55",2650,0.62,22.1030893425444
"56",2700,0.76,19.7981075836374
"57",2750,0.77,19.6726694092991
"58",2800,0.85,17.255516572227
"59",2850,0.64,22.4922269657688
"60",2900,0.7,21.4444151207017
"61",2950,0.74,21.3511185282931
"62",3000,0.66,23.3378219358845
"63",3050,0.49,27.4221190716448
"64",3100,0.78,21.627790110999
"65",3150,0.81,21.0673290382675
"66",3200,0.77,23.7653962586354
"67",3250,0.81,21.9208647054258
"68",3300,0.86,21.6146627338353
"69",3350,0.82,23.3055794457813
"70",3400,0.87,20.6937731894745
"71",3450,0.65,28.3652022044555
"72",3500,0.85,23.9999130637274
"73",3550,0.85,22.81092757898
"74",3600,0.84,25.4919211363813
"75",3650,0.86,23.9297353100986
"76",3700,0.84,25.4996118916401
"77",3750,0.9,21.5364682139253
"78",3800,0.82,26.7729767911201
"79",3850,0.84,25.4633439416285
"80",3900,0.82,27.3042878211597
"81",3950,0.93,21.5429635954359
"82",4000,0.88,24.8912722192036
"83",4050,0.81,27.6029232321664
"84",4100,0.89,25.047726461228
"85",4150,0.73,31.1089047582085
"86",4200,0.84,27.8334937514554
"87",4250,0.86,27.9721772878988
"88",4300,0.89,26.3831219436467
"89",4350,0.91,26.0592750135838
"90",4400,0.88,27.8045827835132
"91",4450,0.65,35.9338927268493
"92",4500,0.7,33.8818939687961
"93",4550,0.88,29.6432166420865
"94",4600,0.92,26.3259271908717
"95",4650,0.93,24.9242552200574
"96",4700,0.94,24.8283877978732
"97",4750,0.9,30.7620476597066
"98",4800,0.9,30.2005185127688
"99",4850,0.95,25.2155150197935
"100",4900,0.95,25.979576185671
"101",4950,0.84,34.6064938290771
"102",5000,0.8,36.2809531941318
"103",5050,0.93,31.7023379647598
"104",5100,0.93,29.8722999301405
"105",5150,0.97,25.0351626174028
"106",5200,0.96,26.1604905689669
"107",5250,0.96,26.6291702243266
"108",5300,0.88,34.5574741907941
"109",5350,0.96,28.5233191026935
"110",5400,0.94,31.1235566250097
"111",5450,0.94,30.6883225956687
"112",5500,0.95,30.2349344096872
"113",5550,0.96,29.3444942948071
"114",5600,0.97,28.5018147946907
"115",5650,0.98,27.3073243809672
"116",5700,0.98,28.5495909337887
"117",5750,0.95,33.0649274237367
"118",5800,0.98,28.4997795544516
"119",5850,0.96,32.004458588838
"120",5900,0.99,27.661946751533
"121",5950,0.99,28.2180842971358
"122",6000,0.98,28.9230613987425
"123",6050,0.98,29.0826950244508
"124",6100,0.97,28.9949049134518
"125",6150,0.96,34.5833532562291
"126",6200,1,26.7525296902895
"127",6250,0.96,34.1510533260887
"128",6300,0.95,36.5047923620275
"129",6350,0.96,34.3141814794691
"130",6400,1,23.9378126212839
"131",6450,0.98,31.1151921136381
"132",6500,0.97,31.8752355817744
"133",6550,0.97,34.1375642319336
"134",6600,1,30.5918124660405
"135",6650,1,30.8375766514011
"136",6700,1,30.9260032601102
"137",6750,0.99,32.4826080881782
"138",6800,0.98,33.8085865093534
"139",6850,1,32.5192719087169
"140",6900,1,28.7859085616704
"141",6950,1,29.6796833035784
"142",7000,1,32.8744453931538
"143",7050,0.98,38.5074998059458
"144",7100,1,29.5523309788093
"145",7150,1,33.9221997981837
"146",7200,1,30.8837398121556
"147",7250,1,34.5137592175735
"148",7300,1,27.712570053559
"149",7350,0.99,38.9078568656369
"150",7400,1,33.276848560118
"151",7450,1,36.8063059846309
"152",7500,0.99,38.6831250485135
"153",7550,1,31.6114491966157
"154",7600,1,28.8715221609874
"155",7650,0.99,38.567263836063
"156",7700,1,33.1918497244431
"157",7750,1,30.9756267950012
"158",7800,1,34.3618846541954
"159",7850,1,32.2434821082046
"160",7900,1,34.5826950244508
"161",7950,1,35.9571978576419
"162",8000,1,29.6957556469766
"163",8050,1,30.5297461771327
"164",8100,1,39.0299433361795
"165",8150,1,36.215990064426
"166",8200,0.98,43.6087665916324
"167",8250,0.98,43.26326787239
"168",8300,1,41.5126771714663
"169",8350,1,41.0335744779943
"170",8400,1,35.0570829775673
"171",8450,1,37.3433672281301
"172",8500,1,30.7207886361872
"173",8550,0.99,44.1615990064426
"174",8600,1,32.275516572227
"175",8650,1,36.4597050376465
"176",8700,1,36.1044911899402
"177",8750,1,36.6751238065668
"178",8800,1,41.9413444073585
"179",8850,1,35.6707009236979
"180",8900,1,34.4221578824808
"181",8950,1,30.0995699759373
"182",9000,1,36.6304276954126
"183",9050,1,40.9794271520609
"184",9100,1,33.8496964992626
"185",9150,1,34.836746099511
"186",9200,1,31.3788310176201
"187",9250,1,39.3012031359155
"188",9300,1,33.2876752309245
"189",9350,1,41.2525669486921
"190",9400,0.97,55.5796087867733
"191",9450,1,37.5463385857331
"192",9500,1,38.7852549871924
"193",9550,1,37.5273228285337
"194",9600,1,41.4350384227276
"195",9650,1,42.8801210898083
"196",9700,1,36.8645703640456
"197",9750,1,42.910249165567
"198",9800,1,39.1579616548941
"199",9850,1,36.8968066444151
"200",9900,1,38.9064037879376
"201",9950,1,43.3480385003493
"202",10000,1,44.3282837848327
