"","num_attr","tpr","crit_val"
"1",1,0.52,1.05472327873942
"2",5,0.28,3.18636963440192
"3",50,0,18.4266863308236
"4",100,0.11,27.4140339982923
"5",150,0.05,39.2572382209113
"6",200,0.05,50.6392144686797
"7",250,0.08,52.5683458821703
"8",300,0.16,49.9830784755104
"9",350,0.13,65.5889932469145
"10",400,0.19,55.3898936583094
"11",450,0.15,66.5117596833036
"12",500,0.13,71.8227121012187
"13",550,0.19,69.8016766281146
"14",600,0.15,81.4717069005666
"15",650,0.13,96.8647830474268
"16",700,0.2,85.8686641310254
"17",750,0.26,81.8834898703718
"18",800,0.21,91.0430024062718
"19",850,0.19,102.887138088954
"20",900,0.13,118.55452922456
"21",950,0.12,135.491966156951
"22",1000,0.32,91.6180237522316
"23",1050,0.27,105.734611503532
"24",1100,0.39,91.5816968097493
"25",1150,0.28,114.905534425212
"26",1200,0.34,104.006753085461
"27",1250,0.34,108.052084141892
"28",1300,0.3,121.785376077001
"29",1350,0.36,113.012186602499
"30",1400,0.41,112.43677714818
"31",1450,0.48,102.307071334317
"32",1500,0.35,129.937747419079
"33",1550,0.34,135.801987114802
"34",1600,0.44,128.019327796321
"35",1650,0.35,143.77745866646
"36",1700,0.42,139.210044244353
"37",1750,0.33,160.263292711325
"38",1800,0.44,135.598385469223
"39",1850,0.48,124.811612202127
"40",1900,0.36,166.378017542498
"41",1950,0.44,141.769929364279
"42",2000,0.42,153.010867034076
"43",2050,0.4,159.912442754017
"44",2100,0.4,164.763409143833
"45",2150,0.49,140.068772801366
"46",2200,0.44,157.087557245983
"47",2250,0.55,130.799736086315
"48",2300,0.47,150.631219436467
"49",2350,0.39,178.312582473026
"50",2400,0.47,157.705270511527
"51",2450,0.5,151.871148024528
"52",2500,0.46,168.960180082279
"53",2550,0.5,156.571761235737
"54",2600,0.48,166.119459753163
"55",2650,0.48,167.264457036405
"56",2700,0.64,148.131103003959
"57",2750,0.51,168.131335868975
"58",2800,0.62,157.594038655593
"59",2850,0.59,161.447256073896
"60",2900,0.56,174.970891873011
"61",2950,0.71,150.310874796243
"62",3000,0.57,175.335403244586
"63",3050,0.53,183.047504463246
"64",3100,0.52,190.301404952263
"65",3150,0.5,197.203058293876
"66",3200,0.44,214.665838702166
"67",3250,0.6,188.288985484747
"68",3300,0.72,169.776527206396
"69",3350,0.7,177.060467282465
"70",3400,0.65,184.088022976015
"71",3450,0.71,174.013195684235
"72",3500,0.73,175.71761235737
"73",3550,0.67,191.323216642086
"74",3600,0.63,204.704649538151
"75",3650,0.64,204.184040984243
"76",3700,0.56,221.239152371342
"77",3750,0.65,207.465264301793
"78",3800,0.74,184.906155398587
"79",3850,0.59,224.473492199022
"80",3900,0.73,194.726771714663
"81",3950,0.65,214.270356283474
"82",4000,0.67,215.95156407669
"83",4050,0.7,205.353256229139
"84",4100,0.59,236.555848792983
"85",4150,0.71,213.828378483273
"86",4200,0.75,201.308546146084
"87",4250,0.76,198.331134052628
"88",4300,0.73,205.651168206163
"89",4350,0.77,201.539548241869
"90",4400,0.83,184.969184196228
"91",4450,0.68,232.416207405108
"92",4500,0.81,201.999456648296
"93",4550,0.71,231.352480012419
"94",4600,0.77,225.481099122875
"95",4650,0.73,245.184429092603
"96",4700,0.8,218.539548241869
"97",4750,0.74,241.615074128697
"98",4800,0.64,259.238997127998
"99",4850,0.84,204.55809982147
"100",4900,0.84,207.775285259644
"101",4950,0.81,211.255375300784
"102",5000,0.82,224.232554529225
"103",5050,0.84,215.661957618567
"104",5100,0.74,250.656989831561
"105",5150,0.84,218.812776527206
"106",5200,0.81,234.527672126058
"107",5250,0.66,275.820305829388
"108",5300,0.83,225.529923154545
"109",5350,0.69,275.000310486688
"110",5400,0.78,254.21229527284
"111",5450,0.85,229.47341457735
"112",5500,0.81,249.347745090429
"113",5550,0.9,209.183342389195
"114",5600,0.86,233.046107273151
"115",5650,0.86,226.441667313514
"116",5700,0.8,263.267251416596
"117",5750,0.86,227.294030893425
"118",5800,0.85,250.85740898859
"119",5850,0.69,299.955367538617
"120",5900,0.83,261.619032833967
"121",5950,0.83,261.009004113949
"122",6000,0.86,241.895676472871
"123",6050,0.89,223.842117519211
"124",6100,0.89,239.893503066056
"125",6150,0.87,251.203135915548
"126",6200,0.9,229.453621050997
"127",6250,0.83,281.325778157262
"128",6300,0.86,262.481564852907
"129",6350,0.83,289.996429403089
"130",6400,0.87,272.162151672747
"131",6450,0.65,344.019172552977
"132",6500,0.9,257.336645191337
"133",6550,0.9,263.075758751844
"134",6600,0.9,264.148800745168
"135",6650,0.74,325.044632461383
"136",6700,0.88,280.923697896453
"137",6750,0.91,250.457346891252
"138",6800,0.95,232.523092447411
"139",6850,0.95,236.222308468524
"140",6900,0.96,229.588605138555
"141",6950,0.92,258.989909182644
"142",7000,0.94,236.517891795389
"143",7050,0.92,271.720251494217
"144",7100,0.94,252.090662112862
"145",7150,0.98,229.322285182023
"146",7200,0.98,235.173484436855
"147",7250,0.75,344.673057517659
"148",7300,0.92,275.985872855701
"149",7350,0.89,302.358534502833
"150",7400,0.91,287.8302414034
"151",7450,0.9,295.404641775984
"152",7500,0.92,287.163704106186
"153",7550,0.9,304.429480711015
"154",7600,0.95,275.885197547155
"155",7650,0.9,303.811612202127
"156",7700,0.96,261.309943336179
"157",7750,0.91,306.458511216332
"158",7800,0.99,240.279360397423
"159",7850,0.88,323.693239152371
"160",7900,0.96,277.798494139564
"161",7950,0.91,313.33004734922
"162",8000,0.97,264.721803927657
"163",8050,0.95,282.394473336956
"164",8100,0.96,285.952961266786
"165",8150,0.96,280.603974229605
"166",8200,0.97,261.900799503221
"167",8250,0.91,328.889389117442
"168",8300,0.95,304.605681906388
"169",8350,0.96,296.805169603353
"170",8400,1,236.53605526663
"171",8450,0.98,273.674377086082
"172",8500,0.89,353.62268105255
"173",8550,0.93,332.953815105177
"174",8600,0.97,300.210898082745
"175",8650,0.93,338.259256384383
"176",8700,0.96,309.192424124816
"177",8750,0.95,316.611736396802
"178",8800,0.99,276.439804393387
"179",8850,0.97,291.453621050997
"180",8900,0.93,323.45331056431
"181",8950,0.98,294.727625553054
"182",9000,0.98,292.079872700458
"183",9050,0.99,277.272995420321
"184",9100,0.99,278.886284250563
"185",9150,0.98,300.271986338586
"186",9200,0.93,355.917177676007
"187",9250,0.9,383.543351703796
"188",9300,1,262.738414965458
"189",9350,0.97,290.182333307459
"190",9400,0.97,305.418846541955
"191",9450,1,284.776449584724
"192",9500,0.99,300.245206861756
"193",9550,0.92,366.276177908872
"194",9600,0.9,395.582628269813
"195",9650,0.99,305.96770938446
"196",9700,0.97,313.758907086859
"197",9750,1,295.006520220446
"198",9800,1,290.563145230148
"199",9850,1,299.963284949158
"200",9900,1,263.641232632151
"201",9950,0.91,399.450050454087
"202",10000,0.99,307.092369789645
